,YearStart,YearEnd,LocationAbbr,DataSource,DataValueUnit,DataValue,DataValueAlt,LowConfidenceLimit,HighConfidenceLimit,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
49883,2019,2019,KS,NVSS,"cases per 100,000",4.4,4.4,2.7,6.8,DIA,DIA04,CRDRATE,AGE,AGE65P
49927,2019,2019,IN,NVSS,"cases per 100,000",101.8,101.8,98.4,105.2,DIA,DIA03,AGEADJRATE,SEX,SEXM
49935,2019,2019,HI,NVSS,"cases per 100,000",76.5,76.5,66.3,86.8,DIA,DIA03,CRDRATE,RACE,MRC
50050,2019,2019,KS,BRFSS,%,9.0,9.0,8.4,9.6,DIA,DIA01,AGEADJPREV,RACE,WHT
50056,2019,2019,KY,BRFSS,%,11.2,11.2,10.0,12.6,DIA,DIA01,AGEADJPREV,SEX,SEXF
50082,2019,2019,IA,NVSS,Number,38.0,38.0,,,DIA,DIA04,NMBR,OVERALL,OVR
50137,2019,2019,IA,NVSS,"cases per 100,000",150.7,150.7,119.5,187.6,DIA,DIA03,AGEADJRATE,RACE,BLK
50140,2019,2019,KS,NVSS,Number,1901.0,1901.0,,,DIA,DIA03,NMBR,AGE,AGE65P
50164,2019,2019,IA,BRFSS,%,17.6,17.6,12.5,24.3,DIA,DIA01,AGEADJPREV,RACE,BLK
50185,2019,2019,KY,NVSS,Number,37.0,37.0,,,DIA,DIA03,NMBR,RACE,HIS
50210,2019,2019,HI,PRAMS,%,14.7,14.7,11.3,19.0,DIA,DIA02,CRDPREV,OVERALL,OVR
50212,2019,2019,LA,BRFSS,%,11.4,11.4,10.2,12.6,DIA,DIA01,CRDPREV,RACE,WHT
50239,2019,2019,LA,NVSS,Number,975.0,975.0,,,DIA,DIA03,NMBR,AGE,AGE4564
50259,2019,2019,LA,NVSS,Number,2177.0,2177.0,,,DIA,DIA03,NMBR,SEX,SEXM
50298,2019,2019,HI,BRFSS,%,9.2,9.2,8.1,10.6,DIA,DIA01,AGEADJPREV,RACE,ASN
50306,2019,2019,ID,NVSS,"cases per 100,000",452.7,452.7,428.3,477.2,DIA,DIA03,CRDRATE,AGE,AGE65P
50307,2019,2019,HI,NVSS,"cases per 100,000",89.1,89.1,82.2,96.1,DIA,DIA03,CRDRATE,SEX,SEXM
50369,2019,2019,ID,BRFSS,%,9.8,9.8,8.4,11.3,DIA,DIA01,AGEADJPREV,SEX,SEXM
50372,2019,2019,KY,NVSS,"cases per 100,000",172.9,172.9,167.4,178.4,DIA,DIA03,CRDRATE,SEX,SEXM
50419,2019,2019,KS,BRFSS,%,10.8,10.8,10.2,11.5,DIA,DIA01,CRDPREV,OVERALL,OVR
50425,2019,2019,KY,NVSS,"cases per 100,000",678.3,678.3,659.7,696.9,DIA,DIA03,CRDRATE,AGE,AGE65P
50459,2019,2019,IL,NVSS,Number,215.0,215.0,,,DIA,DIA03,NMBR,AGE,AGE0_44
50480,2019,2019,IA,BRFSS,%,8.2,8.2,7.4,9.0,DIA,DIA01,AGEADJPREV,SEX,SEXF
50490,2019,2019,LA,BRFSS,%,27.2,27.2,24.3,30.3,DIA,DIA01,CRDPREV,AGE,AGE65P
50515,2019,2019,IL,NVSS,Number,63.0,63.0,,,DIA,DIA04,NMBR,SEX,SEXF
50531,2019,2019,HI,BRFSS,%,13.9,13.9,12.2,15.7,DIA,DIA01,CRDPREV,AGE,AGE4564
50534,2019,2019,ID,BRFSS,%,22.4,22.4,19.7,25.4,DIA,DIA01,CRDPREV,AGE,AGE65P
50582,2019,2019,IL,NVSS,"cases per 100,000",51.8,51.8,50.5,53.1,DIA,DIA03,AGEADJRATE,RACE,WHT
50604,2019,2019,IA,PRAMS,%,11.9,11.9,8.3,16.9,DIA,DIA02,CRDPREV,RACE,WHT
50644,2019,2019,LA,NVSS,"cases per 100,000",1.8,1.8,1.3,2.4,DIA,DIA04,AGEADJRATE,SEX,SEXM
50717,2019,2019,KS,NVSS,"cases per 100,000",65.1,65.1,62.3,68.0,DIA,DIA03,AGEADJRATE,RACE,WHT
50722,2019,2019,KY,NVSS,Number,83.0,83.0,,,DIA,DIA04,NMBR,SEX,SEXF
50761,2019,2019,IL,NVSS,"cases per 100,000",1.0,1.0,0.8,1.3,DIA,DIA04,AGEADJRATE,RACE,WHT
50768,2019,2019,IA,NVSS,"cases per 100,000",1.2,1.2,0.7,1.9,DIA,DIA04,AGEADJRATE,SEX,SEXM
50781,2019,2019,KS,NVSS,Number,129.0,129.0,,,DIA,DIA03,NMBR,RACE,HIS
50785,2019,2019,IN,NVSS,"cases per 100,000",2.0,2.0,1.5,2.5,DIA,DIA04,AGEADJRATE,SEX,SEXF
50804,2019,2019,KY,NVSS,Number,154.0,154.0,,,DIA,DIA04,NMBR,OVERALL,OVR
50894,2019,2019,HI,NVSS,"cases per 100,000",51.7,51.7,40.9,64.5,DIA,DIA03,CRDRATE,RACE,HIS
50921,2019,2019,KY,BRFSS,%,13.3,13.3,12.3,14.5,DIA,DIA01,CRDPREV,OVERALL,OVR
50958,2019,2019,LA,NVSS,Number,4050.0,4050.0,,,DIA,DIA03,NMBR,OVERALL,OVR
51019,2019,2019,ID,NVSS,Number,25.0,25.0,,,DIA,DIA03,NMBR,RACE,AIAN
51055,2019,2019,IL,PRAMS,%,10.9,10.9,7.6,15.5,DIA,DIA02,CRDPREV,RACE,HIS
51059,2019,2019,ID,BRFSS,%,8.3,8.3,7.3,9.3,DIA,DIA01,AGEADJPREV,RACE,WHT
51070,2019,2019,LA,NVSS,Number,34.0,34.0,,,DIA,DIA04,NMBR,AGE,AGE4564
51073,2019,2019,IA,BRFSS,%,10.3,10.3,9.6,10.9,DIA,DIA01,CRDPREV,OVERALL,OVR
51098,2019,2019,LA,BRFSS,%,13.1,13.1,11.5,14.8,DIA,DIA01,CRDPREV,SEX,SEXM
51121,2019,2019,KS,NVSS,"cases per 100,000",95.2,95.2,91.1,99.3,DIA,DIA03,CRDRATE,RACE,WHT
51150,2019,2019,HI,NVSS,"cases per 100,000",75.0,75.0,65.8,84.1,DIA,DIA03,CRDRATE,AGE,AGE4564
51159,2019,2019,IA,NVSS,"cases per 100,000",103.9,103.9,99.2,108.6,DIA,DIA03,AGEADJRATE,SEX,SEXM
51197,2019,2019,HI,BRFSS,%,8.5,8.5,7.4,9.7,DIA,DIA01,AGEADJPREV,SEX,SEXF
51201,2019,2019,KS,NVSS,"cases per 100,000",116.0,116.0,97.9,134.2,DIA,DIA03,AGEADJRATE,RACE,BLK
51243,2019,2019,ID,NVSS,Number,1523.0,1523.0,,,DIA,DIA03,NMBR,RACE,WHT
51256,2019,2019,IA,NVSS,"cases per 100,000",82.2,82.2,75.9,88.6,DIA,DIA03,CRDRATE,AGE,AGE4564
51322,2019,2019,IA,BRFSS,%,20.4,20.4,18.9,22.0,DIA,DIA01,CRDPREV,AGE,AGE65P
51331,2019,2019,IL,NVSS,Number,99.0,99.0,,,DIA,DIA04,NMBR,RACE,WHT
51335,2019,2019,IL,BRFSS,%,9.7,9.7,8.6,10.8,DIA,DIA01,AGEADJPREV,SEX,SEXF
51381,2019,2019,IL,NVSS,"cases per 100,000",1.7,1.7,1.3,2.0,DIA,DIA04,CRDRATE,SEX,SEXM
51415,2019,2019,ID,NVSS,"cases per 100,000",1.0,1.0,0.6,1.5,DIA,DIA04,AGEADJRATE,OVERALL,OVR
51447,2019,2019,KY,BRFSS,%,3.2,3.2,2.4,4.3,DIA,DIA01,CRDPREV,AGE,AGE1844
51467,2019,2019,IN,BRFSS,%,18.7,18.7,12.8,26.6,DIA,DIA01,AGEADJPREV,RACE,MRC
51471,2019,2019,IL,NVSS,Number,57.0,57.0,,,DIA,DIA04,NMBR,AGE,AGE65P
51485,2019,2019,KS,NVSS,Number,1092.0,1092.0,,,DIA,DIA03,NMBR,SEX,SEXF
51491,2019,2019,LA,BRFSS,%,14.8,14.8,9.5,22.5,DIA,DIA01,AGEADJPREV,RACE,HIS
51512,2019,2019,IL,PRAMS,%,17.5,17.5,10.0,28.8,DIA,DIA02,CRDPREV,RACE,ASN
51513,2019,2019,KS,NVSS,Number,28.0,28.0,,,DIA,DIA03,NMBR,RACE,MRC
51525,2019,2019,IN,NVSS,"cases per 100,000",3.4,3.4,2.6,4.4,DIA,DIA04,CRDRATE,AGE,AGE4564
51632,2019,2019,KY,NVSS,"cases per 100,000",2.9,2.9,2.4,3.4,DIA,DIA04,AGEADJRATE,RACE,WHT
51722,2019,2019,ID,BRFSS,%,10.6,10.6,9.1,12.2,DIA,DIA01,CRDPREV,SEX,SEXM
51727,2019,2019,KS,NVSS,Number,51.0,51.0,,,DIA,DIA04,NMBR,OVERALL,OVR
51746,2019,2019,LA,BRFSS,%,15.1,15.1,13.0,17.6,DIA,DIA01,CRDPREV,RACE,BLK
51754,2019,2019,KY,NVSS,Number,20.0,20.0,,,DIA,DIA04,NMBR,AGE,AGE0_44
51755,2019,2019,IL,NVSS,Number,8425.0,8425.0,,,DIA,DIA03,NMBR,OVERALL,OVR
51785,2019,2019,IA,NVSS,Number,2802.0,2802.0,,,DIA,DIA03,NMBR,AGE,AGE65P
51840,2019,2019,IN,NVSS,Number,1317.0,1317.0,,,DIA,DIA03,NMBR,AGE,AGE4564
51900,2019,2019,IL,BRFSS,%,2.4,2.4,1.8,3.2,DIA,DIA01,CRDPREV,AGE,AGE1844
51904,2019,2019,ID,NVSS,"cases per 100,000",109.2,109.2,102.3,116.0,DIA,DIA03,CRDRATE,SEX,SEXM
51924,2019,2019,LA,NVSS,Number,1873.0,1873.0,,,DIA,DIA03,NMBR,SEX,SEXF
51932,2019,2019,HI,BRFSS,%,13.4,13.4,11.4,15.7,DIA,DIA01,AGEADJPREV,RACE,MRC
51953,2019,2019,LA,NVSS,"cases per 100,000",78.6,78.6,75.1,82.2,DIA,DIA03,CRDRATE,SEX,SEXF
51960,2019,2019,KS,NVSS,"cases per 100,000",34.2,34.2,23.3,48.6,DIA,DIA03,CRDRATE,RACE,ASN
51990,2019,2019,IN,NVSS,"cases per 100,000",77.5,77.5,73.3,81.7,DIA,DIA03,CRDRATE,AGE,AGE4564
52018,2019,2019,IA,NVSS,"cases per 100,000",65.2,65.2,61.8,68.5,DIA,DIA03,AGEADJRATE,SEX,SEXF
52115,2019,2019,HI,NVSS,"cases per 100,000",34.6,34.6,29.1,40.1,DIA,DIA03,AGEADJRATE,RACE,WHT
52191,2019,2019,HI,BRFSS,%,13.8,13.8,11.4,16.7,DIA,DIA01,AGEADJPREV,RACE,HAPI
52202,2019,2019,KS,NVSS,"cases per 100,000",1.8,1.8,1.3,2.5,DIA,DIA04,CRDRATE,RACE,WHT
52239,2019,2019,IL,NVSS,"cases per 100,000",27.0,27.0,24.9,29.2,DIA,DIA03,CRDRATE,RACE,HIS
52242,2019,2019,IA,BRFSS,%,11.1,11.1,10.2,12.1,DIA,DIA01,CRDPREV,SEX,SEXM
52311,2019,2019,IA,NVSS,"cases per 100,000",1.0,1.0,0.7,1.4,DIA,DIA04,AGEADJRATE,OVERALL,OVR
52332,2019,2019,IN,NVSS,"cases per 100,000",89.1,89.1,85.9,92.2,DIA,DIA03,CRDRATE,SEX,SEXF
52338,2019,2019,KS,BRFSS,%,10.7,10.7,10.0,11.3,DIA,DIA01,CRDPREV,RACE,WHT
52394,2019,2019,IL,NVSS,Number,1394.0,1394.0,,,DIA,DIA03,NMBR,RACE,BLK
52432,2019,2019,LA,NVSS,"cases per 100,000",105.3,105.3,100.1,110.5,DIA,DIA03,CRDRATE,RACE,BLK
52441,2019,2019,IN,NVSS,"cases per 100,000",109.2,109.2,105.7,112.8,DIA,DIA03,CRDRATE,SEX,SEXM
52455,2019,2019,LA,NVSS,Number,74.0,74.0,,,DIA,DIA04,NMBR,OVERALL,OVR
52473,2019,2019,KS,BRFSS,%,10.5,10.5,9.7,11.4,DIA,DIA01,AGEADJPREV,SEX,SEXM
52488,2019,2019,KY,NVSS,"cases per 100,000",10.3,10.3,8.1,12.8,DIA,DIA04,CRDRATE,AGE,AGE65P
52499,2019,2019,LA,NVSS,"cases per 100,000",4.2,4.2,3.4,4.9,DIA,DIA03,CRDRATE,AGE,AGE0_44
52521,2019,2019,KY,NVSS,Number,6341.0,6341.0,,,DIA,DIA03,NMBR,RACE,WHT
52528,2019,2019,KS,NVSS,Number,2487.0,2487.0,,,DIA,DIA03,NMBR,OVERALL,OVR
52622,2019,2019,KY,NVSS,Number,150.0,150.0,,,DIA,DIA03,NMBR,AGE,AGE0_44
52661,2019,2019,IN,BRFSS,%,12.7,12.7,11.7,13.8,DIA,DIA01,AGEADJPREV,SEX,SEXM
52699,2019,2019,HI,NVSS,"cases per 100,000",46.3,46.3,42.0,50.7,DIA,DIA03,AGEADJRATE,RACE,ASN
52703,2019,2019,IN,NVSS,Number,6665.0,6665.0,,,DIA,DIA03,NMBR,OVERALL,OVR
52705,2019,2019,IA,NVSS,Number,34.0,34.0,,,DIA,DIA04,NMBR,RACE,WHT
52772,2019,2019,ID,NVSS,Number,322.0,322.0,,,DIA,DIA03,NMBR,AGE,AGE4564
52795,2019,2019,IA,NVSS,"cases per 100,000",26.6,26.6,16.7,40.3,DIA,DIA03,CRDRATE,RACE,ASN
52877,2019,2019,MD,BRFSS,%,11.4,11.4,10.5,12.4,DIA,DIA01,CRDPREV,SEX,SEXM
52897,2019,2019,MI,NVSS,"cases per 100,000",2.1,2.1,1.6,2.7,DIA,DIA04,CRDRATE,AGE,AGE4564
52947,2019,2019,MO,PRAMS,%,9.0,9.0,7.3,10.9,DIA,DIA02,CRDPREV,OVERALL,OVR
52960,2019,2019,MT,BRFSS,%,7.6,7.6,6.7,8.7,DIA,DIA01,CRDPREV,SEX,SEXM
52973,2019,2019,MT,PRAMS,%,5.8,5.8,4.2,7.8,DIA,DIA02,CRDPREV,OVERALL,OVR
53045,2019,2019,MO,NVSS,"cases per 100,000",89.4,89.4,86.0,92.8,DIA,DIA03,CRDRATE,SEX,SEXM
53092,2019,2019,MT,NVSS,"cases per 100,000",1.6,1.6,1.0,2.6,DIA,DIA04,AGEADJRATE,OVERALL,OVR
53133,2019,2019,MN,NVSS,"cases per 100,000",32.7,32.7,26.4,39.0,DIA,DIA03,CRDRATE,RACE,HIS
53135,2019,2019,MA,NVSS,Number,40.0,40.0,,,DIA,DIA04,NMBR,AGE,AGE65P
53136,2019,2019,MS,NVSS,"cases per 100,000",150.9,150.9,143.6,158.1,DIA,DIA03,CRDRATE,RACE,BLK
53142,2019,2019,MA,NVSS,"cases per 100,000",45.5,45.5,44.1,46.9,DIA,DIA03,AGEADJRATE,OVERALL,OVR
53222,2019,2019,ME,NVSS,Number,574.0,574.0,,,DIA,DIA03,NMBR,SEX,SEXF
53234,2019,2019,MS,BRFSS,%,13.2,13.2,11.9,14.7,DIA,DIA01,CRDPREV,RACE,WHT
53291,2019,2019,MI,BRFSS,%,9.7,9.7,9.0,10.3,DIA,DIA01,AGEADJPREV,OVERALL,OVR
53302,2019,2019,MO,BRFSS,%,2.6,2.6,1.9,3.6,DIA,DIA01,CRDPREV,AGE,AGE1844
53303,2019,2019,MI,BRFSS,%,13.2,13.2,8.9,19.0,DIA,DIA01,AGEADJPREV,RACE,HIS
53332,2019,2019,ME,PRAMS,%,9.6,9.6,7.4,12.3,DIA,DIA02,CRDPREV,RACE,WHT
53358,2019,2019,MD,NVSS,"cases per 100,000",0.8,0.8,0.5,1.2,DIA,DIA04,CRDRATE,AGE,AGE0_44
53375,2019,2019,MT,NVSS,"cases per 100,000",61.1,61.1,56.8,65.3,DIA,DIA03,AGEADJRATE,RACE,WHT
53385,2019,2019,MO,NVSS,"cases per 100,000",56.9,56.9,55.1,58.7,DIA,DIA03,AGEADJRATE,RACE,WHT
53398,2019,2019,MN,NVSS,"cases per 100,000",2.0,2.0,1.6,2.3,DIA,DIA04,AGEADJRATE,OVERALL,OVR
53401,2019,2019,MO,NVSS,"cases per 100,000",26.1,26.1,16.7,38.8,DIA,DIA03,AGEADJRATE,RACE,ASN
53424,2019,2019,MA,NVSS,Number,20.0,20.0,,,DIA,DIA04,NMBR,AGE,AGE0_44
53435,2019,2019,MS,NVSS,"cases per 100,000",149.0,149.0,143.1,154.8,DIA,DIA03,CRDRATE,RACE,WHT
53442,2019,2019,MA,BRFSS,%,8.4,8.4,7.4,9.6,DIA,DIA01,AGEADJPREV,SEX,SEXM
53454,2019,2019,MT,BRFSS,%,14.8,14.8,11.6,18.6,DIA,DIA01,AGEADJPREV,RACE,AIAN
53491,2019,2019,MN,NVSS,"cases per 100,000",59.9,59.9,51.0,68.9,DIA,DIA03,CRDRATE,RACE,ASN
53511,2019,2019,MS,NVSS,"cases per 100,000",1.6,1.6,1.2,2.1,DIA,DIA04,CRDRATE,OVERALL,OVR
53630,2019,2019,ME,BRFSS,%,8.8,8.8,8.0,9.6,DIA,DIA01,AGEADJPREV,RACE,WHT
53711,2019,2019,MI,NVSS,"cases per 100,000",75.7,75.7,73.3,78.1,DIA,DIA03,CRDRATE,SEX,SEXF
53719,2019,2019,MD,NVSS,"cases per 100,000",21.7,21.7,18.1,25.3,DIA,DIA03,CRDRATE,RACE,HIS
53747,2019,2019,MA,BRFSS,%,8.4,8.4,7.7,9.2,DIA,DIA01,CRDPREV,OVERALL,OVR
53758,2019,2019,MO,NVSS,Number,44.0,44.0,,,DIA,DIA04,NMBR,SEX,SEXF
53780,2019,2019,MO,NVSS,"cases per 100,000",89.6,89.6,82.3,96.9,DIA,DIA03,AGEADJRATE,RACE,BLK
53842,2019,2019,MO,BRFSS,%,16.8,16.8,11.6,23.7,DIA,DIA01,AGEADJPREV,RACE,ASN
53873,2019,2019,MN,PRAMS,%,13.3,13.3,8.6,20.1,DIA,DIA02,CRDPREV,RACE,BLK
53884,2019,2019,MS,BRFSS,%,17.4,17.4,15.6,19.5,DIA,DIA01,CRDPREV,RACE,BLK
53888,2019,2019,MN,BRFSS,%,5.0,5.0,3.0,8.3,DIA,DIA01,CRDPREV,RACE,ASN
53896,2019,2019,MT,NVSS,"cases per 100,000",55.0,55.0,49.6,60.4,DIA,DIA03,AGEADJRATE,SEX,SEXF
53949,2019,2019,MS,BRFSS,%,3.8,3.8,2.8,5.0,DIA,DIA01,CRDPREV,AGE,AGE1844
53974,2019,2019,MN,NVSS,"cases per 100,000",124.3,124.3,121.0,127.5,DIA,DIA03,CRDRATE,RACE,WHT
53975,2019,2019,MD,PRAMS,%,10.1,10.1,6.5,15.5,DIA,DIA02,CRDPREV,RACE,BLK
53988,2019,2019,MA,NVSS,Number,3254.0,3254.0,,,DIA,DIA03,NMBR,AGE,AGE65P
54000,2019,2019,MN,NVSS,Number,52.0,52.0,,,DIA,DIA04,NMBR,SEX,SEXF
54029,2019,2019,MS,NVSS,"cases per 100,000",2.2,2.2,1.5,3.1,DIA,DIA04,CRDRATE,SEX,SEXM
54067,2019,2019,MD,BRFSS,%,9.9,9.9,9.3,10.5,DIA,DIA01,AGEADJPREV,OVERALL,OVR
54142,2019,2019,MA,NVSS,"cases per 100,000",20.8,20.8,16.8,24.9,DIA,DIA03,CRDRATE,RACE,ASN
54143,2019,2019,MD,NVSS,Number,137.0,137.0,,,DIA,DIA04,NMBR,OVERALL,OVR
54201,2019,2019,MI,NVSS,"cases per 100,000",97.0,97.0,91.7,102.2,DIA,DIA03,CRDRATE,RACE,BLK
54260,2019,2019,MN,NVSS,"cases per 100,000",135.5,135.5,117.2,153.7,DIA,DIA03,AGEADJRATE,RACE,BLK
54276,2019,2019,MI,NVSS,Number,6800.0,6800.0,,,DIA,DIA03,NMBR,AGE,AGE65P
54356,2019,2019,MA,BRFSS,%,6.2,6.2,5.5,6.9,DIA,DIA01,AGEADJPREV,RACE,WHT
54358,2019,2019,MD,NVSS,Number,141.0,141.0,,,DIA,DIA03,NMBR,AGE,AGE0_44
54382,2019,2019,MS,NVSS,"cases per 100,000",238.2,238.2,161.9,338.1,DIA,DIA03,AGEADJRATE,RACE,AIAN
54482,2019,2019,MA,PRAMS,%,7.6,7.6,3.3,16.8,DIA,DIA02,CRDPREV,RACE,MRC
54483,2019,2019,MA,NVSS,"cases per 100,000",1.5,1.5,1.1,2.0,DIA,DIA04,CRDRATE,SEX,SEXM
54623,2019,2019,MO,NVSS,"cases per 100,000",1.2,1.2,0.9,1.6,DIA,DIA04,AGEADJRATE,SEX,SEXF
54652,2019,2019,MN,BRFSS,%,8.8,8.8,8.3,9.3,DIA,DIA01,CRDPREV,OVERALL,OVR
54689,2019,2019,MA,PRAMS,%,9.4,9.4,6.8,12.8,DIA,DIA02,CRDPREV,RACE,WHT
54710,2019,2019,MD,NVSS,"cases per 100,000",2.0,2.0,1.7,2.4,DIA,DIA04,AGEADJRATE,OVERALL,OVR
54713,2019,2019,ME,NVSS,"cases per 100,000",1.8,1.8,1.1,2.7,DIA,DIA04,CRDRATE,RACE,WHT
54724,2019,2019,MS,NVSS,Number,25.0,25.0,,,DIA,DIA04,NMBR,RACE,WHT
54725,2019,2019,MS,NVSS,"cases per 100,000",164.8,164.8,156.6,173.0,DIA,DIA03,AGEADJRATE,RACE,BLK
54754,2019,2019,MT,NVSS,Number,28.0,28.0,,,DIA,DIA03,NMBR,AGE,AGE0_44
54779,2019,2019,MD,NVSS,"cases per 100,000",42.8,42.8,36.3,49.3,DIA,DIA03,AGEADJRATE,RACE,ASN
54792,2019,2019,MA,NVSS,"cases per 100,000",53.6,53.6,46.7,60.4,DIA,DIA03,AGEADJRATE,RACE,HIS
54851,2019,2019,MA,NVSS,"cases per 100,000",70.4,70.4,67.5,73.2,DIA,DIA03,CRDRATE,SEX,SEXM
54870,2019,2019,MI,BRFSS,%,11.5,11.5,10.4,12.6,DIA,DIA01,CRDPREV,SEX,SEXM
54873,2019,2019,MS,BRFSS,%,18.1,18.1,16.3,19.9,DIA,DIA01,AGEADJPREV,RACE,BLK
54886,2019,2019,MS,NVSS,"cases per 100,000",7.4,7.4,6.1,8.7,DIA,DIA03,CRDRATE,AGE,AGE0_44
54900,2019,2019,MN,NVSS,Number,23.0,23.0,,,DIA,DIA04,NMBR,AGE,AGE0_44
54907,2019,2019,ME,NVSS,Number,752.0,752.0,,,DIA,DIA03,NMBR,SEX,SEXM
54987,2019,2019,MN,NVSS,"cases per 100,000",565.1,565.1,549.7,580.4,DIA,DIA03,CRDRATE,AGE,AGE65P
55061,2019,2019,MI,NVSS,"cases per 100,000",98.2,98.2,73.7,128.1,DIA,DIA03,AGEADJRATE,RACE,AIAN
55138,2019,2019,MD,BRFSS,%,11.5,11.5,8.0,16.3,DIA,DIA01,AGEADJPREV,RACE,MRC
55151,2019,2019,MA,NVSS,Number,102.0,102.0,,,DIA,DIA03,NMBR,RACE,ASN
55187,2019,2019,MN,NVSS,Number,102.0,102.0,,,DIA,DIA04,NMBR,RACE,WHT
55197,2019,2019,MI,NVSS,"cases per 100,000",38.1,38.1,32.8,43.3,DIA,DIA03,CRDRATE,RACE,HIS
55218,2019,2019,MA,NVSS,"cases per 100,000",1.1,1.1,0.9,1.4,DIA,DIA04,AGEADJRATE,OVERALL,OVR
55230,2019,2019,MN,PRAMS,%,10.5,10.5,8.2,13.4,DIA,DIA02,CRDPREV,OVERALL,OVR
55283,2019,2019,MD,NVSS,"cases per 100,000",441.4,441.4,428.1,454.7,DIA,DIA03,CRDRATE,AGE,AGE65P
55297,2019,2019,MO,NVSS,"cases per 100,000",0.7,0.7,0.5,1.1,DIA,DIA04,CRDRATE,AGE,AGE0_44
55303,2019,2019,MD,NVSS,"cases per 100,000",2.1,2.1,1.7,2.7,DIA,DIA04,CRDRATE,RACE,WHT
55315,2019,2019,MN,BRFSS,%,7.2,7.2,6.7,7.6,DIA,DIA01,AGEADJPREV,RACE,WHT
55337,2019,2019,MO,NVSS,"cases per 100,000",3.2,3.2,2.6,3.8,DIA,DIA03,CRDRATE,AGE,AGE0_44
55362,2019,2019,MA,NVSS,"cases per 100,000",1.1,1.1,0.8,1.4,DIA,DIA04,AGEADJRATE,RACE,WHT
55389,2019,2019,MT,NVSS,Number,783.0,783.0,,,DIA,DIA03,NMBR,AGE,AGE65P
55416,2019,2019,MT,BRFSS,%,7.1,7.1,6.5,7.9,DIA,DIA01,CRDPREV,RACE,WHT
55474,2019,2019,MS,NVSS,"cases per 100,000",159.3,159.3,152.7,165.8,DIA,DIA03,CRDRATE,SEX,SEXM
55476,2019,2019,MN,BRFSS,%,7.6,7.6,4.8,11.8,DIA,DIA01,CRDPREV,RACE,MRC
55481,2019,2019,MD,NVSS,Number,65.0,65.0,,,DIA,DIA04,NMBR,RACE,WHT
55497,2019,2019,MS,NVSS,"cases per 100,000",24.0,24.0,15.4,35.7,DIA,DIA03,CRDRATE,RACE,HIS
55564,2019,2019,MI,NVSS,"cases per 100,000",1.6,1.6,1.2,2.0,DIA,DIA04,CRDRATE,SEX,SEXM
55613,2019,2019,MS,BRFSS,%,14.2,14.2,12.6,15.9,DIA,DIA01,CRDPREV,SEX,SEXM
55643,2019,2019,MI,BRFSS,%,10.9,10.9,10.1,11.7,DIA,DIA01,CRDPREV,RACE,WHT
55679,2019,2019,MA,NVSS,Number,3365.0,3365.0,,,DIA,DIA03,NMBR,RACE,WHT
55719,2019,2019,MO,BRFSS,%,10.1,10.1,9.2,11.1,DIA,DIA01,CRDPREV,RACE,WHT
55789,2019,2019,MS,NVSS,"cases per 100,000",640.2,640.2,617.8,662.7,DIA,DIA03,CRDRATE,AGE,AGE65P
55810,2019,2019,MD,NVSS,"cases per 100,000",112.6,112.6,107.7,117.5,DIA,DIA03,CRDRATE,RACE,BLK
55865,2019,2019,MA,BRFSS,%,7.8,7.8,7.1,8.7,DIA,DIA01,CRDPREV,RACE,WHT
55893,2019,2019,MO,BRFSS,%,8.5,8.5,7.7,9.4,DIA,DIA01,AGEADJPREV,RACE,WHT
55905,2019,2019,MT,BRFSS,%,14.9,14.9,13.3,16.6,DIA,DIA01,CRDPREV,AGE,AGE65P
55941,2019,2019,MO,BRFSS,%,13.1,13.1,11.5,14.9,DIA,DIA01,CRDPREV,AGE,AGE4564
55952,2019,2019,MO,BRFSS,%,10.3,10.3,9.5,11.2,DIA,DIA01,CRDPREV,OVERALL,OVR
55960,2019,2019,MD,NVSS,"cases per 100,000",2.8,2.8,2.3,3.5,DIA,DIA04,AGEADJRATE,SEX,SEXM
55993,2019,2019,MO,NVSS,"cases per 100,000",333.2,333.2,322.2,344.2,DIA,DIA03,CRDRATE,AGE,AGE65P
56027,2019,2019,MO,NVSS,Number,35.0,35.0,,,DIA,DIA04,NMBR,AGE,AGE65P
56045,2019,2019,MD,NVSS,Number,2505.0,2505.0,,,DIA,DIA03,NMBR,SEX,SEXF
56070,2019,2019,ME,BRFSS,%,8.5,8.5,5.1,13.8,DIA,DIA01,AGEADJPREV,RACE,HIS
56079,2019,2019,ME,NVSS,Number,239.0,239.0,,,DIA,DIA03,NMBR,AGE,AGE4564
56120,2019,2019,MS,BRFSS,%,13.5,13.5,12.5,14.5,DIA,DIA01,AGEADJPREV,OVERALL,OVR
56177,2019,2019,MN,NVSS,Number,5542.0,5542.0,,,DIA,DIA03,NMBR,RACE,WHT
56203,2019,2019,MA,NVSS,Number,2355.0,2355.0,,,DIA,DIA03,NMBR,SEX,SEXM
56223,2019,2019,ME,BRFSS,%,9.9,9.9,8.9,10.9,DIA,DIA01,CRDPREV,SEX,SEXF
56239,2019,2019,MD,NVSS,"cases per 100,000",59.2,59.2,56.9,61.6,DIA,DIA03,AGEADJRATE,SEX,SEXF
56268,2019,2019,ME,NVSS,"cases per 100,000",375.8,375.8,353.3,398.3,DIA,DIA03,CRDRATE,AGE,AGE65P
56326,2019,2019,MA,NVSS,"cases per 100,000",49.8,49.8,47.5,52.2,DIA,DIA03,CRDRATE,SEX,SEXF
